date,product_category,region,price,discount,festival_name,is_festival,impact_level,sales
2024-03-15,Electronics,South,2082.81,22.79,Christmas,1,Medium,463
2024-08-17,Electronics,South,3592.05,6.32,None,0,Low,263
2024-09-05,Home Decor,West,2043.8,5.49,None,0,Low,197
2024-11-23,Clothing,West,3852.74,3.74,None,0,Low,175
2024-07-01,Toys,South,737.42,11.83,None,0,Low,179
2024-01-29,Electronics,North,1307.51,35.83,Navratri,1,High,695
2024-07-19,Groceries,West,3851.97,40.99,Onam,1,Medium,830
2024-07-21,Groceries,West,4752.29,0.4,None,0,Low,213
2024-12-06,Toys,West,104.58,10.14,None,0,Low,114
2024-05-05,Electronics,North,2425.5,12.27,None,0,Low,219
2024-05-07,Jewelry,East,4099.2,44.45,Diwali,1,High,505
2024-08-02,Jewelry,East,381.94,27.46,Ganesh Chaturthi,1,High,435
2024-04-09,Toys,West,4508.1,7.73,None,0,Low,148
2024-01-02,Toys,East,319.0,1.03,None,0,Low,139
2024-06-21,Electronics,West,1668.89,37.51,Raksha Bandhan,1,Medium,409
2024-12-09,Jewelry,South,3381.56,11.12,None,0,Low,248
2024-07-28,Home Decor,West,943.8,19.3,Diwali,1,High,516
2024-09-15,Electronics,West,1326.86,3.5,None,0,Low,156
2024-01-01,Home Decor,North,117.88,5.07,None,0,Low,282
2024-06-11,Electronics,East,1029.6,21.28,Ganesh Chaturthi,1,High,242
2024-09-10,Toys,West,688.94,12.76,None,0,Low,294
2024-09-10,Jewelry,North,388.45,2.51,None,0,Low,70
2024-07-19,Home Decor,North,1693.5,14.91,None,0,Low,272
2024-05-18,Toys,East,4690.19,10.13,None,0,Low,271
2024-12-27,Groceries,South,2002.2,15.99,Christmas,1,Medium,989
2024-04-29,Home Decor,South,320.31,20.57,Diwali,1,High,905
2024-02-17,Groceries,East,1778.29,13.72,Christmas,1,Medium,253
2024-09-22,Electronics,South,1065.66,7.34,None,0,Low,201
2024-02-07,Home Decor,West,4156.82,48.9,Christmas,1,Medium,814
2024-05-11,Electronics,North,841.93,8.86,None,0,Low,297
2024-01-14,Toys,North,4221.98,32.87,Diwali,1,High,273
2024-01-17,Home Decor,West,2178.87,0.94,None,0,Low,188
2024-04-27,Groceries,South,724.96,14.19,None,0,Low,112
2024-05-16,Electronics,North,3347.19,11.54,None,0,Low,222
2024-12-09,Electronics,West,3728.04,13.14,Pongal,1,Low,475
2024-07-30,Electronics,North,3928.73,3.36,None,0,Low,124
2024-06-05,Groceries,North,2971.99,41.51,Christmas,1,Medium,677
2024-07-17,Toys,South,729.8,39.52,Pongal,1,Low,891
2024-04-30,Groceries,North,3934.65,7.18,None,0,Low,158
2024-10-19,Groceries,East,3619.08,43.73,Navratri,1,High,821
2024-04-04,Electronics,North,2130.31,6.18,None,0,Low,95
2024-11-11,Electronics,South,682.49,20.35,Onam,1,Medium,213
2024-04-05,Groceries,East,4977.97,7.26,None,0,Low,205
2024-10-04,Toys,West,285.91,32.63,Christmas,1,Medium,407
2024-10-16,Toys,South,3280.33,44.34,Pongal,1,Low,713
2024-03-14,Clothing,West,3659.13,33.13,Ganesh Chaturthi,1,High,569
2024-01-05,Toys,West,608.61,10.42,None,0,Low,106
2024-07-24,Electronics,South,2182.0,0.79,None,0,Low,55
2024-02-21,Groceries,East,2301.28,6.06,None,0,Low,64
2024-11-03,Electronics,South,1022.9,6.87,None,0,Low,187
2024-07-31,Electronics,South,1625.02,0.43,None,0,Low,255
2024-11-14,Jewelry,South,900.49,1.71,None,0,Low,85
2024-05-29,Electronics,North,3327.21,32.73,Holi,1,Medium,799
2024-03-17,Electronics,South,1582.99,31.82,Pongal,1,Low,933
2024-12-20,Jewelry,East,762.9,4.59,None,0,Low,144
2024-05-12,Toys,North,3015.45,15.6,Eid,1,High,463
2024-04-26,Clothing,West,4609.68,18.11,Diwali,1,High,459
2024-02-21,Toys,East,2703.85,12.82,None,0,Low,292
2024-10-16,Home Decor,North,1695.65,19.39,Raksha Bandhan,1,Medium,219
2024-02-16,Jewelry,South,3226.0,39.63,Holi,1,Medium,611
2024-09-04,Jewelry,East,328.57,10.84,Holi,1,Medium,964
2024-07-06,Jewelry,West,4160.75,10.12,Eid,1,High,413
2024-03-23,Toys,East,2490.17,49.84,Navratri,1,High,388
2024-05-09,Electronics,South,4796.96,2.01,None,0,Low,214
2024-07-26,Electronics,West,4763.52,12.8,None,0,Low,75
2024-06-24,Clothing,West,3312.5,1.23,None,0,Low,141
2024-04-09,Groceries,East,4010.46,7.07,None,0,Low,239
2024-06-23,Groceries,South,4866.27,15.02,Christmas,1,Medium,954
2024-06-18,Toys,West,698.62,26.99,Navratri,1,High,770
2024-12-22,Toys,South,3637.46,25.77,Diwali,1,High,569
2024-01-25,Groceries,West,471.49,5.73,None,0,Low,288
2024-09-05,Jewelry,East,2118.87,6.07,None,0,Low,86
2024-08-17,Electronics,East,1651.55,45.33,Onam,1,Medium,775
2024-06-20,Groceries,West,3446.39,13.18,None,0,Low,259
2024-11-03,Clothing,West,2550.18,28.77,Ganesh Chaturthi,1,High,807
2024-02-27,Home Decor,West,1186.97,12.13,Pongal,1,Low,806
2024-06-04,Toys,East,3248.07,25.11,Onam,1,Medium,863
2024-03-07,Groceries,South,3492.79,45.44,Eid,1,High,283
2024-05-20,Groceries,North,3557.91,24.82,Onam,1,Medium,789
2024-06-02,Jewelry,South,4007.25,6.93,None,0,Low,152
2024-04-11,Jewelry,North,4999.53,22.29,Christmas,1,Medium,621
2024-07-10,Groceries,West,4061.08,47.97,Onam,1,Medium,803
2024-08-06,Toys,South,2866.97,2.47,None,0,Low,77
2024-02-24,Toys,South,645.23,14.9,Eid,1,High,827
2024-04-16,Electronics,North,2200.11,8.01,None,0,Low,236
2024-03-09,Jewelry,West,135.12,35.36,Onam,1,Medium,826
2024-05-10,Groceries,South,2512.5,13.71,None,0,Low,204
2024-06-14,Home Decor,West,4433.07,0.59,None,0,Low,213
2024-09-28,Home Decor,South,797.67,32.09,Ganesh Chaturthi,1,High,906
2024-08-11,Groceries,South,196.28,20.6,Navratri,1,High,403
2024-05-23,Home Decor,South,1649.81,15.0,Holi,1,Medium,998
2024-06-23,Electronics,West,1409.4,45.51,Navratri,1,High,647
2024-11-26,Jewelry,North,2614.43,12.52,None,0,Low,288
2024-05-09,Clothing,West,1540.5,14.38,None,0,Low,193
2024-12-28,Electronics,West,2401.19,45.44,Christmas,1,Medium,613
2024-10-15,Clothing,North,4650.86,42.99,Raksha Bandhan,1,Medium,586
2024-05-11,Jewelry,West,3136.52,17.07,Diwali,1,High,842
2024-11-29,Groceries,North,3452.87,31.38,Raksha Bandhan,1,Medium,461
2024-04-01,Home Decor,East,2471.32,25.59,Diwali,1,High,220
2024-10-11,Groceries,North,876.04,0.66,None,0,Low,255
2024-08-02,Electronics,North,4789.87,10.07,Navratri,1,High,347
2024-08-26,Clothing,West,3358.15,0.21,None,0,Low,109
2024-06-09,Groceries,South,4540.36,10.88,None,0,Low,69
2024-06-02,Jewelry,North,2023.16,11.5,None,0,Low,91
2024-04-20,Jewelry,North,3902.97,18.06,Diwali,1,High,514
2024-01-30,Jewelry,North,1207.28,14.69,Navratri,1,High,885
2024-01-24,Electronics,East,271.5,4.07,None,0,Low,161
2024-02-26,Toys,East,2542.61,11.61,None,0,Low,216
2024-08-27,Electronics,East,2511.32,31.96,Raksha Bandhan,1,Medium,876
2024-01-12,Home Decor,South,2722.66,20.81,Pongal,1,Low,905
2024-04-22,Groceries,East,1150.72,11.72,None,0,Low,198
2024-07-02,Electronics,West,3217.2,42.74,Ganesh Chaturthi,1,High,851
2024-05-31,Jewelry,South,389.32,7.61,None,0,Low,233
2024-01-06,Clothing,East,423.35,14.5,Diwali,1,High,918
2024-12-12,Groceries,North,870.77,41.07,Holi,1,Medium,842
2024-06-30,Electronics,East,4778.58,24.51,Pongal,1,Low,536
2024-09-30,Electronics,North,3001.29,30.44,Eid,1,High,400
2024-08-31,Jewelry,South,4202.25,4.27,None,0,Low,255
2024-08-17,Electronics,North,4909.68,4.89,None,0,Low,120
2024-10-09,Toys,North,4317.5,34.03,Pongal,1,Low,398
2024-09-24,Clothing,North,1819.78,37.57,Eid,1,High,922
2024-04-21,Clothing,North,3170.38,28.38,Christmas,1,Medium,923
2024-06-19,Home Decor,South,4205.28,28.78,Diwali,1,High,587
2024-02-29,Clothing,West,2015.52,15.13,Pongal,1,Low,995
2024-07-14,Toys,West,3686.24,36.53,Diwali,1,High,777
2024-04-24,Clothing,North,3674.06,38.49,Pongal,1,Low,846
2024-10-14,Jewelry,West,2686.16,42.83,Holi,1,Medium,593
